                                                      Stepwise Summary                                                       
---------------------------------------------------------------------------------------------------------------------------
Variable                                                 Method       AIC        RSS        Sum Sq      R-Sq      Adj. R-Sq 
---------------------------------------------------------------------------------------------------------------------------
SchoolFactor:LHIV.AIDS                                  addition    731.465    2101.900    7118.372    0.77203      0.76652 
Income.composition.of.resources:Schooling               addition    694.644    1552.020    7668.252    0.83167      0.82620 
Adult.Mortality:Linfant.deaths                          addition    679.437    1356.796    7863.476    0.85285      0.84682 
Polio:SchoolFactor                                      addition    668.265    1186.455    8033.817    0.87132      0.86267 
Adult.Mortality:LHIV.AIDS                               addition    656.725    1067.361    8152.911    0.88424      0.87541 
Polio:IncomeCompFactor                                  addition    649.293     976.162    8244.110    0.89413      0.88409 
Alcohol:PopulationFactor                                addition    638.348     855.122    8365.150    0.90726      0.89577 
HIV.AIDS:Income.composition.of.resources                addition    632.610     804.960    8415.311    0.91270      0.90100 
Adult.Mortality:ScalePop                                addition    626.415     755.037    8465.235    0.91811      0.90631 
Schooling:LThin19                                       addition    621.660     716.229    8504.042    0.92232      0.91032 
LHIV.AIDS:LUnder5Deaths                                 addition    618.535     688.116    8532.156    0.92537      0.91304 
Adult.Mortality:IncomeCompFactor                        addition    614.919     648.369    8571.903    0.92968      0.91654 
BMI:LHIV.AIDS                                           addition    611.925     623.559    8596.712    0.93237      0.91897 
Population:LThin19                                      addition    610.112     605.258    8615.013    0.93436      0.92060 
HIV.AIDS:thinness.5.9.years                             addition    606.521     579.388    8640.883    0.93716      0.92326 
Total.expenditure:LHIV.AIDS                             addition    602.679     553.541    8666.731    0.93996      0.92598 
GdpFactor:Linfant.deaths                                addition    599.184     522.057    8698.215    0.94338      0.92950 
Schooling:LHIV.AIDS                                     addition    595.505     499.402    8720.870    0.94584      0.93189 
HIV.AIDS:LUnder5Deaths                                  addition    591.718     477.325    8742.947    0.94823      0.93425 
thinness..1.19.years:Income.composition.of.resources    addition    587.473     454.598    8765.674    0.95070      0.93675 
SchoolFactor:LGDP                                       addition    583.178     419.465    8800.807    0.95451      0.93982 
Status:Measles                                          addition    578.962     393.388    8826.884    0.95733      0.94236 
LHIV.AIDS:ScalePop                                      addition    575.162     375.958    8844.314    0.95922      0.94432 
GDP:SchoolFactor                                        addition    575.162     375.958    8844.314    0.95922      0.94432 
Population:LHIV.AIDS                                    removal     571.696     343.746    8876.526    0.96272      0.94739 
LHIV.AIDS:ScalePop                                      NA          569.696     343.746    8876.526    0.96272      0.94739 
NA                                                      NA          569.696     343.746    8876.526    0.96272      0.94739 
---------------------------------------------------------------------------------------------------------------------------
